date,type,registration,operator,fatalities,location,country,cat,year
25-JUN-2009,Xian MA60,RP-C8892,Zest Airways,0.0,Zest Airways,Philippines,A1,2009
26-JUN-2009,Let L-410UVP-E,HK-4094,TAC,0.0,TAC,Colombia,A1,2009
27-JUN-2009,BAe 3201 Jetstream 31,N485UE,Vecolair,0.0,Vecolair,Afghanistan,A1,2009
29-JUN-2009,DHC-6 Twin Otter 300,PK-BRO,Aviastar Mandiri,3.0,Aviastar Mandiri,Indonesia,A1,2009
29-JUN-2009,BN-2B-26 Islander,D-ILFC,LFH Luftverkehr,0.0,LFH Luftverkehr,Germany,A2,2009
30-JUN-2009,Airbus A310-324,7O-ADJ,Yemenia Airways,152.0,Yemenia Airways,Comoros,A1,2009
05-JUL-2009,BN-2A Trislander Mk.III-1,ZK-LOU,Great Barrier Airlines,0.0,Great Barrier Airlines,New Zealand,A1,2009
06-JUL-2009,Antonov An-28,ST-TYB,El Dinder Aviation,0.0,El Dinder Aviation,Sudan,A1,2009
08-JUL-2009,Fairchild SA227-AC Metro III,C6-FPO,Western Air,0.0,Western Air,Bahamas,A2,2009
13-JUL-2009,Boeing 737-3H4,N387SW,Southwest Airlines,0.0,Southwest Airlines,USA,A2,2009
15-JUL-2009,Tupolev Tu-154M,EP-CPG,Caspian Airlines,168.0,Caspian Airlines,Iran,A1,2009
19-JUL-2009,BAe 3212 Jetstream 32,YV1200,Kavok Airlines,0.0,Kavok Airlines,Venezuela,A1,2009
21-JUL-2009,Beech 100 King Air,C-FDAM,North Cariboo Flying Service,0.0,North Cariboo Flying Service,Canada,A2,2009
24-JUL-2009,Ilyushin Il-62M,UP-I6208,"DETA Air, op.for Aria Air",16.0,"DETA Air, op.for Aria Air",Iran,A1,2009
29-JUL-2009,DHC-6 Twin Otter 300,OY-POF,Air Greenland,0.0,Air Greenland,Greenland,A2,2009
02-AUG-2009,DHC-6 Twin Otter 300,PK-NVC,Merpati Nusantara,15.0,Merpati Nusantara,Indonesia,A1,2009
02-AUG-2009,Embraer EMB-120RT Brasilia,5N-BLN,Capital Airlines,0.0,Capital Airlines,Nigeria,A1,2009
03-AUG-2009,Boeing 707-3J9C,EP-SHK,Saha Air,0.0,Saha Air,Iran,A2,2009
04-AUG-2009,ATR 72-212A (ATR 72-500),HS-PGL,Bangkok Airways,1.0,Bangkok Airways,Thailand,A1,2009
10-AUG-2009,Boeing 737-881 (WL),JA56AN,All Nippon,0.0,All Nippon,Japan,A2,2009
11-AUG-2009,DHC-6 Twin Otter 300,P2-MCB,Airlines PNG,13.0,Airlines PNG,P.N. Guinea,A1,2009
14-AUG-2009,Beech 99,F-BTME,"Avioarte ServiÃ§os AÃ©reos, op.for Skydive Portugal",2.0,"Avioarte ServiÃ§os AÃ©reos, op.for Skydive Portugal",Portugal,A1,2009
16-AUG-2009,Avcen Jetpod,-,Avcen,1.0,Avcen,Malaysia,A1,2009
16-AUG-2009,BN-2A-6 Islander,YV212T,Islas Aviation Services,0.0,Islas Aviation Services,Venezuela,A1,2009
23-AUG-2009,Dornier 328-100,RP-C6328,South East Asian Airlines,0.0,South East Asian Airlines,Philippines,A2,2009
26-AUG-2009,Antonov An-12BK,TN-AIA,Aero Fret Business,6.0,Aero Fret Business,Congo,A1,2009
26-AUG-2009,Cessna 208B Grand Caravan,YV1183,LÃ­nea TurÃ­stica Aereotuy - LTA,0.0,LÃ­nea TurÃ­stica Aereotuy - LTA,Venezuela,A1,2009
27-AUG-2009,Ilyuhsin Il-76TD,T-906,Angolan AF,0.0,Angolan AF,Angola,A1,2009
28-AUG-2009,Boeing E-3C Sentry (707-300),83-0008,USAF,0.0,USAF,USA,A1,2009
??-AUG-2009,Antonov An-24RV,UK-46658,Uzbekistan Airways,0.0,Uzbekistan Airways,Uzbekistan,A1,2009
01-SEP-2009,Airbus A320-212,LZ-BHC,"Air VallÃ©e, lsf BH Air",0.0,"Air VallÃ©e, lsf BH Air",Italy,A2,2009
04-SEP-2009,Boeing 747-437,VT-ESM,Air India,0.0,Air India,India,A1,2009
06-SEP-2009,BN-2A Islander,VQ-TAH,Turks & Caicos National Airline,0.0,Turks & Caicos National Airline,Turks & Caicos,O1,2009
06-SEP-2009,BN-2A-26 Islander,VQ-TAA,Turks & Caicos National Airline,0.0,Turks & Caicos National Airline,Turks & Caicos,O1,2009
07-SEP-2009,GAF Nomad N.24A,P-837,Indonesian Navy,5.0,Indonesian Navy,Indonesia,A1,2009
07-SEP-2009,Beech 200 Super King Air,N83GA,Guardian Eagle Company,0.0,Guardian Eagle Company,USA,A1,2009
09-SEP-2009,Antonov An-2R,UR-70427,Unknown,0.0,Unknown,Ukraine,A1,2009
09-SEP-2009,Boeing 737-852,EI-DRA,AeromÃ©xico,0.0,AeromÃ©xico,Mexico,H2,2009
09-SEP-2009,Yakovlev Yak-40,RA-87447,Bugulma Air Enterprise,0.0,Bugulma Air Enterprise,Kazakhstan,A2,2009
13-SEP-2009,MD-11F,D-ALCO,Lufthansa Cargo,0.0,Lufthansa Cargo,Mexico,A2,2009
14-SEP-2009,Fokker 100,D-AFKE,Contact Air,0.0,Contact Air,Germany,A2,2009
